year,naics,y_w
2018,513,4.868401885175664
2018,514,3.4050817103201254
2018,52,2.3572881854859657
2018,521,2.9660479212046593
2018,523,1.4369294682252374
2018,524,2.4975212772566318
2018,525,13.854868913857677
2018,53,19.89036021181239
2018,531,23.876152643042882
2018,532,7.473169710920451
2018,54,1.6858999128152827
2018,5411,2.334173990135911
2018,5415,1.3894145276973588
2018,5412,1.685074255130776
2018,55,1.3363321115668134
2018,56,1.6194863405353013
2018,561,1.5765770234483292
2018,562,2.1939637678485777
2018,61,1.587244653539535
2018,62,1.4891750264649564
2018,621,1.5605374101218121
2018,622,1.4484131605113
2018,624,1.332158537678086
2018,71,2.236776730174876
2018,711,2.508491289580366
2018,713,1.923402552546228
2018,72,1.8305308426980798
2018,721,2.343159226935956
2018,722,1.6879448488293212
2018,81,1.5728560191653587
2019,11,3.8134513351309036
2019,111,5.695630336514315
2019,113,1.7782856625633598
2019,21,4.224140755098141
2019,211,7.48598565613491
2019,212,3.879734727713302
2019,213,1.7469246499921347
2019,22,5.262675415188522
2019,23,1.7840905911367462
2019,31-33,2.5771338800665746
2019,33,2.1719121281735467
2019,321,2.0786754699863916
2019,327,2.525284720332724
2019,331,2.301297212069089
2019,332,1.8143587203674103
2019,333,1.9618154837308626
2019,334,2.2179538637806595
2019,335,2.3103278975977557
2019,3361,2.5267844762506355
2019,3364,2.3167961997385915
2019,337,1.6651165276886892
2019,339,2.270638217965871
2019,31-33,3.3927126980029256
2019,311,2.7206434921873397
2019,313,1.6683115626511853
2019,315,1.491503687079192
2019,322,2.3864416029939184
2019,323,1.8256219694566547
2019,324,11.356131906027732
2019,325,4.582256513684013
2019,326,2.016681618698931
2019,42,2.6211537902478934
2019,44-45,2.1491503171286452
2019,48-49,2.116067577500896
2019,481,3.116795591819434
2019,482,2.4913769200909446
2019,483,2.48586543230286
2019,484,2.0444709291456347
2019,485,2.196233461798244
2019,486,7.234645669291338
2019,487,1.572931482373961
2019,493,1.3605650660089947
2019,51,3.2647845726198748
2019,511,2.158468700616449
2019,512,2.6642105582340276
2019,513,4.939694502958642
2019,514,3.4842954927030867
2019,52,2.2915381588975063
2019,521,2.8588492916453268
2019,523,1.4077559681219618
2019,524,2.416228936915842
2019,525,11.94676960585128
2019,53,19.566926562436215
2019,531,23.42312379040929
2019,532,7.400294001243852
2019,54,1.676736034713019
2019,5411,2.302144345863299
2019,5415,1.3844093330883704
2019,5412,1.6829742210189937
2019,55,1.3294207755525465
2019,56,1.6081520033285401
2019,561,1.5646494358813454
2019,562,2.1910852577355713
2019,61,1.6059439290156334
2019,62,1.4841180886083132
2019,621,1.5520603117221643
2019,622,1.4480681372907849
2019,624,1.3246772340914312
2019,71,2.212256628963471
2019,711,2.488808751885435
2019,713,1.8943823359438832
2019,72,1.8230034928139647
2019,721,2.3247591222726425
2019,722,1.682039962419539
2019,81,1.5859375268613867
