year,naics,l_w
2012,525,1.4428969359331476
2012,53,1.163120495174492
2012,531,1.162228947441486
2012,532,1.1655722684584255
2012,54,1.153736453915459
2012,5411,1.1816479400749065
2012,5415,1.1356853863665852
2012,55,1.1735049307880214
2012,56,1.184463155264327
2012,561,1.1839236650340461
2012,562,1.191597551342812
2012,61,1.247250836533929
2012,62,1.218686841858971
2012,621,1.209096408275617
2012,624,1.2169957302920023
2012,71,1.166307690223649
2012,711,1.1512615994161193
2012,713,1.1825873593366614
2012,72,1.1688710351361302
2012,721,1.1670190274841437
2012,722,1.1694518262495177
2012,81,1.1687524743252369
2013,11,1.231377885293821
2013,113,1.2761372204071375
2013,21,1.175148271009248
2013,211,1.1968920428411853
2013,212,1.2105125864092865
2013,213,1.139536259316219
2013,22,1.3648519400633874
2013,23,1.2042158652115071
2013,31-33,1.248875200533953
2013,33,1.2374650444741455
2013,321,1.2483084296588667
2013,327,1.2270688952303301
2013,331,1.22807924888606
2013,332,1.212436679829285
2013,333,1.2258916228918995
2013,334,1.1811946902654866
2013,335,1.3740480253027592
2013,3361,1.2487631318554075
2013,337,1.207340935159571
2013,339,1.3678354100260794
2013,313,1.2291399229781772
2013,315,1.2508014043657456
2013,322,1.223662817359403
2013,323,1.2020512335759523
2013,324,1.551781690728532
2013,325,1.2918723862539687
2013,326,1.23040511464929
2013,42,1.1636036089836421
2013,44-45,1.2059732730037187
2013,481,1.2998491249245625
2013,482,1.3036241934511246
2013,483,1.2937629545882796
2013,484,1.2793536080395775
2013,485,1.2353187626562392
2013,486,1.202729044834308
2013,487,1.2076601256848776
2013,493,1.188851560716266
2013,51,1.198361039765074
2013,511,1.1681287064764254
2013,512,1.2178526074310763
2013,513,1.2318471057577123
2013,514,1.173784289276808
2013,52,1.1758268353186425
2013,521,1.1705092773254788
2013,523,1.174799505940887
2013,524,1.1819456427955133
2013,525,1.2580645161290323
2013,53,1.1615499575099877
2013,531,1.1608456246451255
2013,532,1.1635517526082715
2013,54,1.157671691719712
2013,5411,1.186159932813243
2013,5415,1.139479973675399
2013,55,1.187551824212272
2013,56,1.1855403675075586
2013,561,1.1848697755445816
2013,562,1.1946259631327416
2013,61,1.2362550605772613
2013,62,1.2255010629539058
2013,621,1.2179283253891913
2013,624,1.2278669286610993
2013,71,1.1761427709737484
2013,711,1.1689616767073356
2013,713,1.183828930543842
2013,72,1.1628268134460389
2013,721,1.16041257040024
2013,722,1.1635723695043636
2013,81,1.1653899516882014
2014,11,1.242679864446449
2014,113,1.2982956232555378
2014,21,1.1645154233209363
2014,211,1.1898504208805183
2014,212,1.2025283461488336
2014,213,1.1276087013020766
2014,22,1.364920306429946
2014,23,1.2098186921776988
2014,31-33,1.246696571455661
2014,33,1.231393882360201
2014,321,1.2445557910965503
2014,327,1.2300642932540062
2014,331,1.2205092805645037
2014,332,1.2030719523430893
2014,333,1.2169811320754718
2014,334,1.176049011674951
2014,335,1.3620766578787264
2014,3361,1.2464371003774748
2014,337,1.2008722421754745
2014,339,1.3703662098404852
2014,313,1.2408586688578471
2014,315,1.2590252707581226
2014,322,1.2236555605768045
2014,323,1.2021738116340905
2014,324,1.5713461379935703
2014,325,1.2883585965656137
2014,326,1.2311246271711795
2014,42,1.1646012565997637
2014,44-45,1.1962057100751973
2014,481,1.2937543696108134
2014,482,1.2738972610273898
2014,483,1.2499124956247814
2014,484,1.253223221633484
2014,485,1.2067625340069956
2014,486,1.1861807685368935
2014,487,1.18053642861827
2014,493,1.1590119997563502
2014,51,1.2032834322263377
2014,511,1.1719949129500504
2014,512,1.2205904560555723
2014,513,1.2380563846005197
2014,514,1.1832577574131669
2014,52,1.1700963448072073
2014,521,1.1722937384122702
2014,523,1.1592496021481409
2014,524,1.1783763098133406
2014,525,1.2134831460674158
2014,53,1.1573211718270648
2014,531,1.1568999516315064
2014,532,1.1585101169222152
2014,54,1.1523735706451508
2014,5411,1.1826604765833921
2014,5415,1.1346275361472333
2014,55,1.1653422635940516
2014,56,1.191022390277523
2014,561,1.1904711810916742
2014,562,1.198593374051453
2014,61,1.2554094217984981
2014,62,1.2172053524501285
2014,621,1.2082493286058948
2014,624,1.2215109826291202
2014,71,1.1725948016681214
2014,711,1.1604462806059332
2014,713,1.1857232942363476
2014,72,1.1634386130162189
